participant_id,viewtime,test_qid,timetaken,answer,stanford_label,stanford_label_idx,stanford_sampleid,image_filename
0,100,0,5159,cairn,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
1,2500,0,7968,Border_collie,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
2,1000,0,8751,basenji,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
3,2500,0,7782,basenji,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
4,2500,0,19043,basenji,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
5,1000,0,5755,basenji,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
6,100,0,5759,German_shepherd,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
7,1000,0,18794,basenji,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
8,100,0,6622,German_shepherd,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
9,2500,0,11712,Border_collie,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
10,1000,0,4136,basenji,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
11,2500,0,27696,basenji,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
12,100,0,13898,Yorkshire_terrier,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
13,2500,0,7258,Border_collie,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
14,1000,0,12642,basenji,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
15,100,0,5019,Border_collie,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
16,2500,0,15936,Border_collie,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
17,2500,0,16255,basenji,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
18,2500,0,9629,basenji,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
19,1000,0,20362,basenji,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
20,2500,0,16288,basenji,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
21,100,0,13033,basenji,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
22,100,0,6028,German_shepherd,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
23,100,0,4462,German_shepherd,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
24,100,0,4747,cairn,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
25,1000,0,22001,German_shepherd,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
26,1000,0,14765,basenji,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
27,1000,0,19957,basenji,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
28,1000,0,8614,basenji,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
29,100,0,5027,cairn,basenji,101,17275,../StanfordDogs_Dataset/n02110806-basenji/n02110806_3970.jpg
0,100,1,3142,Yorkshire_terrier,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
1,2500,1,6701,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
2,1000,1,4487,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
3,2500,1,5584,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
4,2500,1,5204,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
5,1000,1,3027,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
6,100,1,3193,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
7,1000,1,4206,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
8,100,1,3901,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
9,2500,1,5635,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
10,1000,1,3413,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
11,2500,1,14845,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
12,100,1,9951,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
13,2500,1,8171,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
14,1000,1,4552,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
15,100,1,2895,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
16,2500,1,5431,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
17,2500,1,5173,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
18,2500,1,6211,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
19,1000,1,3886,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
20,2500,1,12562,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
21,100,1,3984,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
22,100,1,2750,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
23,100,1,3039,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
24,100,1,3676,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
25,1000,1,6760,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
26,1000,1,4356,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
27,1000,1,3927,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
28,1000,1,4531,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
29,100,1,2982,Pekinese,Pekinese,3,714,../StanfordDogs_Dataset/n02086079-Pekinese/n02086079_7235.jpg
0,100,2,3206,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
1,2500,2,5680,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
2,1000,2,6391,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
3,2500,2,5307,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
4,2500,2,4852,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
