participant_id,duration,pet_dog,difficulty,features,feedback,prolific_time,PosAffect,NegAffect,ATTC_FOC,ATTC_SHIF
0,283,"Yes, I have a paulistinha fox dog",none,due to the hair being long and straight,"great task, thanks",More than 10 hours,50,14,33,29
1,281,I have previously owned a mixed breed dog.,"Some of the breeds looked similar, Cairn and Yorkies mostly.",More time would have helped on images where the dogs were further back in the image.,The cat was a fun surprise.,1-3 hours,19,17,25,30
2,552,"Poodle, German Shepherd, Cairn Terrier, Wirehaired Terrier, Shih Tzu, Yellow Lab",Everything worked well. ,"I noticed that my brain had some issues when photos showed more than one dog -- of more than one COLOR. It would take me longer to process because seeing more than one color would confuse me for a moment. Then, after the photo would flash away, it seemed like my initial confusion of what dog I just saw would then cause a ""Oh my gosh...wait....what did I just see?"" moment.  I also would like to have a little bit more time on photos where it showed a very, very young puppy. Much like when I see baby photos (most babies -- mainly newborns -- look alike to me), very young (under 2 months old) puppies can confuse me as to why breed they are at first. Not a problem with your study at all, it's just something I've noticed about myself over the years, and I noticed it here, too. So extra time on those would have been good. ",Everything worked flawlessly with the test. Thank you :),1-3 hours,34,15,15,22
3,239,"Yes, a mixed German shepard - hound breed.",It was way too long and repetitive.,Cairins and Yorkies,"Extremely too long for payout
Repetitive pictures of German Shepard",4-6 hours,50,42,36,41
4,154,"Yes, Weenie Dog ","It was easy, let answers be submitted while the picture is still up. ","They were darker, or mixed breed dogs.",,More than 10 hours,29,27,32,26
5,242,German shepherd,Task was not difficult but very long,Images where the dog is centered or there are multiple dogs,The was one picture of the cat,1-3 hours,38,14,28,31
6,400,no,"the images went by pretty quickly, and in a few of them the dog was very tiny, either far away or there was a human taking up most of the frame. I'm actually remarkably sure that one of the images about 2/3rds of the way through was a cat","well there's the aforementioned tiny dogs and cat, and also the pekingese cairn and yorkshire terrier all look pretty similar",,7-10 hours,31,23,27,33
7,474,Boxer and chihuahua,Some of the pictures were not very clear or not taken well which made it difficult to tell what breed the dog was. ,I had some difficulty on low light or far away images of dogs and had an especially hard time on images of puppies. ,This was a very interesting study and I enjoyed looking at all the images of dogs. Thank you very much and good luck on your research. ,1-3 hours,33,13,20,25
8,307,"Yes, I have had 3 different breeds of dogs. My first dog was a Chow mix. Next two are a Black Mouth Cur and a Lab/Great Dane mix.",Wasn't that difficult aside for the faces of the Cairn and Terrier being very similar so I'm not always sure which one to pick for them.,"The faces are always the first thing I try to catch as most of them have distinguished features, so as long as the face was easy to catch and no other distractions on the image I had enough time.","I'm pretty sure I saw a cat once, and I hope I wasn't going crazy about that as I wasn't sure which to pick for it haha.",4-6 hours,26,15,25,30
9,370,Yes. Most of them were mutts.,It was difficult having to be patient enough to select the breed. ,I wasn't sure what to select for the image of the cat. ,,More than 10 hours,26,15,25,32
